epoch,train_acc,test_acc
0,19.765413183791964,0.21489730308835153
1,14.876560842289644,0.31492654276870496
2,12.908924871799993,0.4152923327931141
3,11.938689430554708,0.5227376121441293
4,11.566760454692092,0.5406251642572906
5,11.016005284645978,0.5902141264814018
6,10.749729282715741,0.5813039873042073
7,10.67934427424973,0.6199892199483693
8,10.2902505421171,0.6218344023113901
9,10.381881567777372,0.6163606349697357
10,10.27450691952425,0.6812412055838699
11,10.031348485572666,0.6523767519548991
12,10.059310605712966,0.6299223748848823
13,9.93427994555118,0.6251682400969157
14,9.867029665731916,0.6388677684344827
15,9.520590812552209,0.6311042702464942
16,9.600304891081418,0.6684001444052613
17,9.311957754340826,0.6780091607378486
18,9.35312719672334,0.6613937717898941
19,9.358548448366278,0.6597672067761758
20,9.217439805760103,0.6431852600235678
21,9.198623699300429,0.6325463144621083
22,9.044570873765384,0.6552314346006226
23,9.002230315816169,0.6960397391635913
24,9.007448700128817,0.6878966172270573
25,8.784969593964371,0.6875293490482073
26,8.881322702940773,0.6790702655013661
27,8.619499297118654,0.6702321394021191
28,8.871252224725836,0.6786448485211297
29,8.744234030153237,0.6343441703920999
30,8.718102621097191,0.6632094819644508
31,8.628983549043244,0.6671998196453448
32,8.65112627195377,0.6767129452216009
33,8.684678014586954,0.6700390866311642
34,8.643794590935988,0.6688768669246749
35,8.457912097958957,0.6721152796920012
36,8.57360516459334,0.6692771723379026
37,8.42999125754132,0.6671962193863267
38,8.418976891274546,0.6644783782392639
39,8.4733728871626,0.6739515499977881
40,8.501231919901043,0.684191636991208
41,8.39268744576211,0.674727894520983
42,8.227426835719276,0.6706334824270511
43,8.435430285977382,0.6568291028178797
44,8.328894533947402,0.6696467483024077
45,8.32126498222351,0.6672666849631885
46,8.253008417639078,0.6616912258990343
47,8.160142673581253,0.6663634807451473
48,8.23930596370323,0.6815433810386865
49,8.289880221380907,0.6823156808468729
50,8.333992336310592,0.6785465993709656
51,8.197258006123935,0.67944593524048
52,8.145067670181685,0.6793009267644285
53,8.132981179391637,0.6809829329997542
54,8.158781165585799,0.6719366933366591
55,8.110926636878181,0.6655593377212594
56,8.030982760237713,0.6664394369131439
57,8.147891485807943,0.6663128907005536
58,8.107842843322192,0.6668522866445971
59,8.174656384131488,0.6678839417985504
60,8.171981902683482,0.6680646886891797
61,8.077584406324462,0.6675503199978735
62,8.048744209256826,0.6726996441842024
63,8.038847487346798,0.6738837799238349
64,8.035432868144092,0.6734363381650231
65,7.829125209181917,0.6667488531197131
66,8.005014346510757,0.6666969994414389
67,7.975139741804085,0.6677366761290046
68,8.013483126958212,0.6680378460164393
69,7.900711131446502,0.6682934941464895
70,7.891164018827326,0.6689127088737273
71,7.916756303871379,0.6660338741201235
72,7.933485297011394,0.6680988226448106
73,7.878466210528916,0.6672616830037503
74,7.91079952377899,0.6670879833267109
75,7.899615651252223,0.6673006097344308
76,7.834677397620444,0.6645112564416491
77,7.8555803480101565,0.6656864122985496
78,7.9617391602665775,0.665495322990091
79,7.965718388557434,0.6700192289221383
80,7.8237956271452065,0.6529637626766415
81,7.87135236754137,0.6529106057099752
82,7.75013863046964,0.6571622336180779
83,7.836327895229938,0.6566894916458004
84,7.860388936365352,0.6615228021338622
85,7.778763417519775,0.6618880951390974
86,7.861883297854779,0.6604494407059688
87,7.813513659963421,0.6622219112605633
88,7.691173232069202,0.6602836444610856
89,7.70014673354579,0.6598922336438079
90,7.700147520677716,0.6594346301942042
91,7.767407982957129,0.6598494031954709
92,7.64746034320663,0.6601672025816202
93,7.699745684862137,0.6608581628437337
94,7.7604632360093735,0.6592412705261322
95,7.668270859648199,0.6686848037655749
96,7.664345927682578,0.6689590291860861
97,7.744475414355596,0.6688438674703189
98,7.720261191036187,0.6842349087637226
99,7.650009622760847,0.6692871219554603
