epoch,train_acc,test_acc
0,0.04815699987036764,0.21489730308835153
1,0.06298593315854321,0.31492654276870496
2,0.07189628308565213,0.4152923327931141
3,0.07728758042823877,0.5227376121441293
4,0.07957500292978265,0.5406251642572906
5,0.08322233357185665,0.5902141264814018
6,0.085108343855295,0.5813039873042073
7,0.08562124521021014,0.6199892199483693
8,0.08857199370993624,0.6218344023113901
9,0.08785893562897772,0.6163606349697357
10,0.0886956748652381,0.6812412055838699
11,0.0906507487554988,0.6523767519548991
12,0.09042154937609083,0.6299223748848823
13,0.09145549638198801,0.6251682400969157
14,0.09202146591661559,0.6388677684344827
15,0.09505169603278281,0.6311042702464942
16,0.09433690919978646,0.6684001444052613
17,0.0969747960399711,0.6780091607378486
18,0.0965891735896464,0.6613937717898941
19,0.09653862266365296,0.6597672067761758
20,0.09787187583295064,0.6431852600235678
21,0.098052446044126,0.6325463144621083
22,0.09955626901013964,0.6552314346006226
23,0.09997770181503778,0.6960397391635913
24,0.09992556844054848,0.6878966172270573
25,0.10219755824451683,0.6875293490482073
26,0.10120102642760476,0.6790702655013661
27,0.10395551463884735,0.6702321394021191
28,0.10130426993802946,0.6786448485211297
29,0.1026247929704408,0.6343441703920999
30,0.10290074503114252,0.6632094819644508
31,0.10385312166198082,0.6671998196453448
32,0.10361484989643188,0.6767129452216009
33,0.10325588506853932,0.6700390866311642
34,0.10369362293758105,0.6688768669246749
35,0.10573158109767195,0.6721152796920012
36,0.1044538585838449,0.6692771723379026
37,0.10604463701917895,0.6671962193863267
38,0.10616864353137649,0.6644783782392639
39,0.1055590244267808,0.6739515499977881
40,0.10524950958258633,0.684191636991208
41,0.10646580180320919,0.674727894520983
42,0.1083725742618744,0.6706334824270511
43,0.10598350787310316,0.6568291028178797
44,0.10719383699333804,0.6696467483024077
45,0.10728157625677306,0.6672666849631885
46,0.1080729590706621,0.6616912258990343
47,0.10916860529739321,0.6663634807451473
48,0.10823323785666551,0.6815433810386865
49,0.10764401436505859,0.6823156808468729
50,0.10713529259177278,0.6785465993709656
51,0.10872805779006704,0.67944593524048
52,0.109348562095455,0.6793009267644285
53,0.10949327282711117,0.6809829329997542
54,0.10918483386823444,0.6719366933366591
55,0.10975831985654597,0.6655593377212594
56,0.11072992015917414,0.6664394369131439
57,0.10931480784959048,0.6663128907005536
58,0.10979548255306064,0.6668522866445971
59,0.10899590765378449,0.6678839417985504
60,0.10902769004673092,0.6680646886891797
61,0.11016146534570233,0.6675503199978735
62,0.11051257244922498,0.6726996441842024
63,0.11063357373823034,0.6738837799238349
64,0.11067538374676711,0.6734363381650231
65,0.11326150397777146,0.6667488531197131
66,0.11104924007005916,0.6666969994414389
67,0.1114188780083541,0.6677366761290046
68,0.11094490175602857,0.6680378460164393
69,0.11235057348024333,0.6682934941464895
70,0.11247121275487303,0.6689127088737273
71,0.11214840530808619,0.6660338741201235
72,0.11193839433916566,0.6680988226448106
73,0.11263206687818515,0.6672616830037503
74,0.11222337539201072,0.6670879833267109
75,0.11236440304692201,0.6673006097344308
76,0.113190324331406,0.6645112564416491
77,0.11292314684092944,0.6656864122985496
78,0.11158548381252525,0.665495322990091
79,0.11153595915707742,0.6700192289221383
80,0.11332991404783177,0.6529637626766415
81,0.112722385333133,0.6529106057099752
82,0.11428390363071629,0.6571622336180779
83,0.11316918202411025,0.6566894916458004
84,0.11286186274461821,0.6615228021338622
85,0.11391125975718862,0.6618880951390974
86,0.11284283107655829,0.6604494407059688
87,0.11346212629619391,0.6622219112605633
88,0.11505926453175978,0.6602836444610856
89,0.11494059015628175,0.6598922336438079
90,0.11494057975721575,0.6594346301942042
91,0.11405879616231951,0.6598494031954709
92,0.115640888805647,0.6601672025816202
93,0.1149458887907534,0.6608581628437337
94,0.1141492148371285,0.6592412705261322
95,0.11536326173829146,0.6686848037655749
96,0.11541552107297572,0.6689590291860861
97,0.11435791772692551,0.6688438674703189
98,0.11467546419686711,0.6842349087637226
99,0.11560680780847815,0.6692871219554603
